date,fund,company,ticker,cusip,shares,market value($),weight(%)
2/26/2021,ARKF,SQUARE INC - A,SQ,852234103,1885011.0,433609080.33,9.71
2/26/2021,ARKF,PAYPAL HOLDINGS INC,PYPL,70450Y103,936081.0,243240647.85,5.45
2/26/2021,ARKF,ZILLOW GROUP INC - C,Z,98954M200,1341240.0,216382249.2,4.84
2/26/2021,ARKF,PINTEREST INC- CLASS A,PINS,72352L106,2133717.0,171934915.86,3.85
2/26/2021,ARKF,SILVERGATE CAPITAL CORP-CL A,SI,82837P408,1320396.0,168429713.76,3.77
2/26/2021,ARKF,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,1900709.0,165741824.8,3.71
2/26/2021,ARKF,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,1482404.0,163523985.24,3.66
2/26/2021,ARKF,SHOPIFY INC - CLASS A,SHOP,82509L107,124086.0,158950443.42,3.56
2/26/2021,ARKF,SEA LTD-ADR,SE,81141R100,627878.0,147984565.82,3.31
2/26/2021,ARKF,MERCADOLIBRE INC,MELI,58733R102,86609.0,141875068.99,3.18
2/26/2021,ARKF,ADYEN NV,ADYEN,BZ1HM42,58564.0,135385219.77,3.03
2/26/2021,ARKF,YEAHKA LTD,9923,BL58D39,11709200.0,125297475.0,2.81
2/26/2021,ARKF,SNAP INC - A,SNAP,83304A106,1907371.0,125237979.86,2.8
2/26/2021,ARKF,OPENDOOR TECHNOLOGIES INC,OPEN,683712103,4386276.0,122903453.52,2.75
2/26/2021,ARKF,ALIBABA GROUP HOLDING-SP ADR,BABA,01609W102,503283.0,119660566.08,2.68
2/26/2021,ARKF,FACEBOOK INC-CLASS A,FB,30303M102,462783.0,119222156.46,2.67
2/26/2021,ARKF,TWILIO INC - A,TWLO,90138F102,298600.0,117313968.0,2.63
2/26/2021,ARKF,ZHONGAN ONLINE P&C INSURAN-H,6060,BYZQ099,15657045.0,105269149.77,2.36
2/26/2021,ARKF,MEITUAN-CLASS B,3690,BGJW376,2322782.0,101817955.38,2.28
2/26/2021,ARKF,DOCUSIGN INC,DOCU,256163106,404536.0,91692129.76,2.05
2/26/2021,ARKF,Z HOLDINGS CORP,4689,6084848,14577730.0,88687629.86,1.99
2/26/2021,ARKF,APPLE INC,AAPL,037833100,682441.0,82752795.66,1.85
2/26/2021,ARKF,WORKDAY INC-CLASS A,WDAY,98138H101,330587.0,81053320.66,1.81
2/26/2021,ARKF,INTUIT INC,INTU,461202103,201984.0,78802037.76,1.76
2/26/2021,ARKF,AMAZON.COM INC,AMZN,023135106,24905.0,77029421.65,1.72
2/26/2021,ARKF,TCS GROUP HOLDING-GDR REG S,TCS LI,87238U203,1360486.0,70881320.6,1.59
2/26/2021,ARKF,JD.COM INC-ADR,JD,47215P106,681031.0,63928379.97,1.43
2/26/2021,ARKF,TELADOC HEALTH INC,TDOC,87918A105,286338.0,63306468.42,1.42
2/26/2021,ARKF,KE HOLDINGS INC,BEKE,482497104,857771.0,54751522.93,1.23
2/26/2021,ARKF,DISCOVERY LTD,DSY,6177878,5537937.0,51842959.18,1.16
2/26/2021,ARKF,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,399595.0,50324994.3,1.13
2/26/2021,ARKF,GUIDEWIRE SOFTWARE INC,GWRE,40171V100,413537.0,45898471.63,1.03
2/26/2021,ARKF,BASE INC,4477,BKRQ8Q2,461500.0,46022280.59,1.03
2/26/2021,ARKF,LENDINGTREE INC,TREE UW,52603B107,167677.0,45083314.99,1.01
2/26/2021,ARKF,PING AN HEALTHCARE AND TECHN,1833,BDRYVB3,3049400.0,44071416.69,0.99
2/26/2021,ARKF,SCHWAB (CHARLES) CORP,SCHW,808513105,719987.0,44437597.64,0.99
2/26/2021,ARKF,NVIDIA CORP,NVDA,67066G104,80050.0,43913829.0,0.98
2/26/2021,ARKF,HDFC BANK LTD-ADR,HDB,40415F101,552737.0,43743606.18,0.98
2/26/2021,ARKF,PINDUODUO INC-ADR,PDD,722304102,247670.0,42391197.2,0.95
2/26/2021,ARKF,DRAFTKINGS INC - CL A,DKNG,26142R104,373892.0,23005574.76,0.52
2/26/2021,ARKF,BILL.COM HOLDINGS INC,BILL,090043100,141051.0,23274825.51,0.52
2/26/2021,ARKF,LENDINGCLUB CORP,LC,52603A208,1828003.0,19687592.31,0.44
2/26/2021,ARKF,MARKETAXESS HOLDINGS INC,MKTX,57060D108,33540.0,18646227.6,0.42
2/26/2021,ARKF,LIGHTSPEED POS INC-SUB VOTE,LSPD,BGHVW01,263839.0,18066109.12,0.4
2/26/2021,ARKF,JSC KASPI.KZ GDR-REG S,KSPI,BMXZ8G7,83187.0,5864683.5,0.13
2/26/2021,ARKF,SPLUNK INC,SPLK,848637104,23790.0,3402207.9,0.08
2/26/2021,ARKF,VERISK ANALYTICS INC,VRSK,92345Y106,18603.0,3048101.55,0.07
2/26/2021,ARKG,TELADOC HEALTH INC,TDOC,87918A105,3694799.0,816883110.91,7.76
2/26/2021,ARKG,EXACT SCIENCES CORP,EXAS,30063P105,3843197.0,523135975.64,4.97
2/26/2021,ARKG,REGENERON PHARMACEUTICALS,REGN,75886F107,1092270.0,492144093.9,4.68
2/26/2021,ARKG,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,15690309.0,479652746.13,4.56
2/26/2021,ARKG,TWIST BIOSCIENCE CORP,TWST,90184D100,3328142.0,458085464.88,4.35
2/26/2021,ARKG,ROCHE HOLDINGS LTD-SPONS ADR,RHHBY,771195104,10745924.0,441657476.4,4.2
2/26/2021,ARKG,VERTEX PHARMACEUTICALS INC,VRTX,92532F100,1975562.0,419905703.1,3.99
2/26/2021,ARKG,NOVARTIS AG-SPONSORED ADR,NVS,66987V109,4750827.0,408143547.57,3.88
2/26/2021,ARKG,CAREDX INC,CDNA,14167L103,4656650.0,368247882.0,3.5
2/26/2021,ARKG,FATE THERAPEUTICS INC,FATE,31189P102,3940154.0,353510616.88,3.36
2/26/2021,ARKG,TAKEDA PHARMACEUTIC-SP ADR,TAK UN,874060205,20400510.0,340892522.1,3.24
2/26/2021,ARKG,IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,7991681.0,298089701.3,2.83
2/26/2021,ARKG,CRISPR THERAPEUTICS AG,CRSP,H17182108,2142860.0,269336073.4,2.56
2/26/2021,ARKG,INCYTE CORP,INCY,45337C102,3120295.0,245442404.7,2.33
2/26/2021,ARKG,INVITAE CORP,NVTA,46185L103,5740234.0,230355590.42,2.19
2/26/2021,ARKG,VEEVA SYSTEMS INC-CLASS A,VEEV,922475108,799387.0,223916292.57,2.13
2/26/2021,ARKG,ACCOLADE INC,ACCD,00437E102,4680011.0,207418087.52,1.97
2/26/2021,ARKG,CASTLE BIOSCIENCES INC,CSTL,14843C105,2711598.0,206298375.84,1.96
2/26/2021,ARKG,IONIS PHARMACEUTICALS INC,IONS,462222100,3928458.0,205851199.2,1.96
2/26/2021,ARKG,PERSONALIS INC,PSNL,71535D106,6259892.0,192992470.36,1.83
2/26/2021,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,03969T109,3655005.0,192509113.35,1.83
2/26/2021,ARKG,10X GENOMICS INC-CLASS A,TXG,88025U109,1061786.0,188987290.14,1.8
2/26/2021,ARKG,PURE STORAGE INC - CLASS A,PSTG,74624M102,8089969.0,189143475.22,1.8
2/26/2021,ARKG,BRISTOL-MYERS SQUIBB CO,BMY,110122108,2851552.0,174885684.16,1.66
2/26/2021,ARKG,SCHRODINGER INC,SDGR,80810D103,1694406.0,173642726.88,1.65
2/26/2021,ARKG,BERKELEY LIGHTS INC,BLI,084310101,2748098.0,170299633.06,1.62
2/26/2021,ARKG,BEAM THERAPEUTICS INC,BEAM,07373V105,1870171.0,166688341.23,1.58
2/26/2021,ARKG,SAREPTA THERAPEUTICS INC,SRPT,803607100,1734143.0,150974489.58,1.43
2/26/2021,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,00650F109,2311393.0,130755502.01,1.24
2/26/2021,ARKG,CODEXIS INC,CDXS,192005106,5843115.0,129191272.65,1.23
2/26/2021,ARKG,INTELLIA THERAPEUTICS INC,NTLA,45826J105,2023686.0,122352055.56,1.16
2/26/2021,ARKG,CELLECTIS - ADR,CLLS,15117K103,5606381.0,120537191.5,1.15
2/26/2021,ARKG,THERMO FISHER SCIENTIFIC INC,TMO,883556102,250270.0,112641521.6,1.07
