date,fund,company,ticker,cusip,shares,market value($),weight(%)
3/10/2021,ARKF,SQUARE INC - A,SQ,852234103,1762307.0,399567866.11,10.33
3/10/2021,ARKF,PAYPAL HOLDINGS INC,PYPL,70450Y103,875145.0,211846350.15,5.47
3/10/2021,ARKF,ZILLOW GROUP INC - C,Z,98954M200,1325183.0,194748893.68,5.03
3/10/2021,ARKF,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,1385866.0,160178392.28,4.14
3/10/2021,ARKF,SILVERGATE CAPITAL CORP-CL A,SI,82837P408,1265550.0,154548966.0,3.99
3/10/2021,ARKF,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,1776965.0,150313469.35,3.88
3/10/2021,ARKF,SEA LTD-ADR,SE,81141R100,639903.0,138993330.63,3.59
3/10/2021,ARKF,PINTEREST INC- CLASS A,PINS,72352L106,1994803.0,137581562.91,3.56
3/10/2021,ARKF,SHOPIFY INC - CLASS A,SHOP,82509L107,122956.0,133763832.4,3.46
3/10/2021,ARKF,ADYEN NV,ADYEN,BZ1HM42,54716.0,122852080.67,3.17
3/10/2021,ARKF,ALIBABA GROUP HOLDING-SP ADR,BABA,01609W102,470497.0,110237447.1,2.85
3/10/2021,ARKF,MERCADOLIBRE INC,MELI,58733R102,74578.0,107061939.46,2.77
3/10/2021,ARKF,YEAHKA LTD,9923,BL58D39,10960400.0,101816650.24,2.63
3/10/2021,ARKF,TWILIO INC - A,TWLO,90138F102,279152.0,98476451.04,2.55
3/10/2021,ARKF,SNAP INC - A,SNAP,83304A106,1783174.0,98199392.18,2.54
3/10/2021,ARKF,OPENDOOR TECHNOLOGIES INC,OPEN,683712103,4100653.0,97144469.57,2.51
3/10/2021,ARKF,MEITUAN-CLASS B,3690,BGJW376,2177182.0,88922391.31,2.3
3/10/2021,ARKF,ZHONGAN ONLINE P&C INSURAN-H,6060,BYZQ099,14637845.0,87886100.79,2.27
3/10/2021,ARKF,FACEBOOK INC-CLASS A,FB,30303M102,320101.0,84794754.9,2.19
3/10/2021,ARKF,DOCUSIGN INC,DOCU,256163106,378176.0,80426689.92,2.08
3/10/2021,ARKF,Z HOLDINGS CORP,4689,6084848,13631330.0,76457699.82,1.98
3/10/2021,ARKF,APPLE INC,AAPL,037833100,637977.0,76544480.46,1.98
3/10/2021,ARKF,WORKDAY INC-CLASS A,WDAY,98138H101,309059.0,75011709.89,1.94
3/10/2021,ARKF,INTUIT INC,INTU,461202103,188832.0,72288666.24,1.87
3/10/2021,ARKF,AMAZON.COM INC,AMZN,023135106,23283.0,71191032.12,1.84
3/10/2021,ARKF,JD.COM INC-ADR,JD,47215P106,767831.0,68590343.23,1.77
3/10/2021,ARKF,TCS GROUP HOLDING-GDR REG S,TCS LI,87238U203,1271905.0,64358393.0,1.66
3/10/2021,ARKF,TELADOC HEALTH INC,TDOC,87918A105,267674.0,49372469.3,1.28
3/10/2021,ARKF,DISCOVERY LTD,DSY,6177878,5177316.0,49491893.05,1.28
3/10/2021,ARKF,SCHWAB (CHARLES) CORP,SCHW,808513105,673139.0,43774229.17,1.13
3/10/2021,ARKF,HDFC BANK LTD-ADR,HDB,40415F101,516713.0,42882011.87,1.11
3/10/2021,ARKF,KE HOLDINGS INC,BEKE,482497104,801888.0,43069404.48,1.11
