date,fund,company,ticker,cusip,shares,market value($),weight(%)
2/25/2021,ARKF,SQUARE INC - A,SQ,852234103,1893264,429979187,9.61
2/25/2021,ARKF,PAYPAL HOLDINGS INC,PYPL,70450Y103,940176,238748293.4,5.33
2/25/2021,ARKF,ZILLOW GROUP INC - C,Z,98954M200,1347113,205353905.7,4.59
2/25/2021,ARKF,PINTEREST INC- CLASS A,PINS,72352L106,2143055,169537081.1,3.79
2/25/2021,ARKF,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,1488893,166756016,3.73
2/25/2021,ARKF,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,1909032,165646706.6,3.7
2/25/2021,ARKF,SILVERGATE CAPITAL CORP-CL A,SI,82837P408,1300521,165686375.4,3.7
2/25/2021,ARKF,SEA LTD-ADR,SE,81141R100,630629,148418535.2,3.32
2/25/2021,ARKF,SHOPIFY INC - CLASS A,SHOP,82509L107,115965,144388021.5,3.23
2/25/2021,ARKF,MERCADOLIBRE INC,MELI,58733R102,86987,140315250.2,3.14
2/25/2021,ARKF,ADYEN NV,ADYEN,BZ1HM42,58823,138434420.3,3.09
2/25/2021,ARKF,OPENDOOR TECHNOLOGIES INC,OPEN,683712103,4405484,126437390.8,2.83
2/25/2021,ARKF,YEAHKA LTD,9923,BL58D39,11076000,124701418.6,2.79
2/25/2021,ARKF,ALIBABA GROUP HOLDING-SP ADR,BABA,01609W102,505488,121408107.8,2.71
2/25/2021,ARKF,SNAP INC - A,SNAP,83304A106,1915722,121188573.7,2.71
2/25/2021,ARKF,FACEBOOK INC-CLASS A,FB,30303M102,464813,118383223,2.65
2/25/2021,ARKF,ZHONGAN ONLINE P&C INSURAN-H,6060,BYZQ099,15725645,117120969.7,2.62
2/25/2021,ARKF,TWILIO INC - A,TWLO,90138F102,299909,113242639.3,2.53
2/25/2021,ARKF,MEITUAN-CLASS B,3690,BGJW376,2332582,111424861.1,2.49
2/25/2021,ARKF,DOCUSIGN INC,DOCU,256163106,406307,91715679.11,2.05
2/25/2021,ARKF,Z HOLDINGS CORP,4689,6084848,14641430,91275546.86,2.04
2/25/2021,ARKF,WORKDAY INC-CLASS A,WDAY,98138H101,332036,83404122.84,1.86
2/25/2021,ARKF,APPLE INC,AAPL,37833100,685430,82930175.7,1.85
2/25/2021,ARKF,INTUIT INC,INTU,461202103,202866,78707950.68,1.76
2/25/2021,ARKF,AMAZON.COM INC,AMZN,23135106,25010,76459571.6,1.71
2/25/2021,ARKF,TCS GROUP HOLDING-GDR REG S,TCS LI,87238U203,1366443,71738257.5,1.6
2/25/2021,ARKF,JD.COM INC-ADR,JD,47215P106,684013,63859453.68,1.43
2/25/2021,ARKF,TELADOC HEALTH INC,TDOC,87918A105,287591,63140604.05,1.41
2/25/2021,ARKF,KE HOLDINGS INC,BEKE,482497104,861530,55878835.8,1.25
2/25/2021,ARKF,DISCOVERY LTD,DSY,6177878,5562185,52123823.88,1.16
2/25/2021,ARKF,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,401345,50569470,1.13
2/25/2021,ARKF,BASE INC,4477,BKRQ8Q2,463600,49259272.5,1.1
2/25/2021,ARKF,GUIDEWIRE SOFTWARE INC,GWRE,40171V100,415350,47150532,1.05
2/25/2021,ARKF,LENDINGTREE INC,TREE UW,52603B107,168412,47003789.2,1.05
