date,fund,company,ticker,cusip,shares,market value($),weight(%)
3/1/2021,ARKF,SQUARE INC - A,SQ,852234103,1877943.0,452584263.0,9.79
3/1/2021,ARKF,PAYPAL HOLDINGS INC,PYPL,70450Y103,932571.0,255179402.73,5.52
3/1/2021,ARKF,ZILLOW GROUP INC - C,Z,98954M200,1336212.0,223147404.0,4.83
3/1/2021,ARKF,SILVERGATE CAPITAL CORP-CL A,SI,82837P408,1315446.0,194291374.2,4.2
3/1/2021,ARKF,PINTEREST INC- CLASS A,PINS,72352L106,2125713.0,177114407.16,3.83
3/1/2021,ARKF,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,1893581.0,172883945.3,3.74
3/1/2021,ARKF,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,1476842.0,167976009.08,3.63
3/1/2021,ARKF,SHOPIFY INC - CLASS A,SHOP,82509L107,123618.0,161932162.92,3.5
3/1/2021,ARKF,SEA LTD-ADR,SE,81141R100,625526.0,155449466.26,3.36
3/1/2021,ARKF,ADYEN NV,ADYEN,BZ1HM42,58342.0,137027280.94,2.96
3/1/2021,ARKF,MERCADOLIBRE INC,MELI,58733R102,79478.0,136168067.84,2.95
3/1/2021,ARKF,YEAHKA LTD,9923,BL58D39,11666000.0,136422454.58,2.95
3/1/2021,ARKF,OPENDOOR TECHNOLOGIES INC,OPEN,683712103,4369824.0,132056081.28,2.86
3/1/2021,ARKF,SNAP INC - A,SNAP,83304A106,1900219.0,126687600.73,2.74
3/1/2021,ARKF,TWILIO INC - A,TWLO,90138F102,297478.0,123685402.84,2.68
3/1/2021,ARKF,FACEBOOK INC-CLASS A,FB,30303M102,461049.0,122136490.59,2.64
3/1/2021,ARKF,ALIBABA GROUP HOLDING-SP ADR,BABA,01609W102,501393.0,121181674.17,2.62
3/1/2021,ARKF,MEITUAN-CLASS B,3690,BGJW376,2314382.0,109451311.56,2.37
3/1/2021,ARKF,ZHONGAN ONLINE P&C INSURAN-H,6060,BYZQ099,15598245.0,107090747.44,2.32
3/1/2021,ARKF,DOCUSIGN INC,DOCU,256163106,403018.0,96143974.08,2.08
3/1/2021,ARKF,Z HOLDINGS CORP,4689,6084848,14523130.0,90901291.18,1.97
3/1/2021,ARKF,APPLE INC,AAPL,037833100,679879.0,86881737.41,1.88
3/1/2021,ARKF,WORKDAY INC-CLASS A,WDAY,98138H101,329345.0,83258416.0,1.8
3/1/2021,ARKF,INTUIT INC,INTU,461202103,201228.0,81781071.48,1.77
3/1/2021,ARKF,AMAZON.COM INC,AMZN,023135106,24815.0,78071464.1,1.69
3/1/2021,ARKF,TCS GROUP HOLDING-GDR REG S,TCS LI,87238U203,1355380.0,70886374.0,1.53
3/1/2021,ARKF,JD.COM INC-ADR,JD,47215P106,678475.0,66504119.5,1.44
3/1/2021,ARKF,TELADOC HEALTH INC,TDOC,87918A105,285264.0,63725124.96,1.38
3/1/2021,ARKF,KE HOLDINGS INC,BEKE,482497104,854549.0,56536961.84,1.22
3/1/2021,ARKF,DISCOVERY LTD,DSY,6177878,5517165.0,54772508.54,1.19
3/1/2021,ARKF,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,398095.0,51406007.35,1.11
3/1/2021,ARKF,GUIDEWIRE SOFTWARE INC,GWRE,40171V100,411983.0,47645833.95,1.03
3/1/2021,ARKF,SCHWAB (CHARLES) CORP,SCHW,808513105,717287.0,45978096.7,0.99
3/1/2021,ARKF,PINDUODUO INC-ADR,PDD,722304102,246740.0,45930651.0,0.99
3/1/2021,ARKF,HDFC BANK LTD-ADR,HDB,40415F101,550661.0,45231294.54,0.98
3/1/2021,ARKF,LENDINGTREE INC,TREE UW,52603B107,167047.0,45224634.31,0.98
3/1/2021,ARKF,BASE INC,4477,BKRQ8Q2,459700.0,45451355.27,0.98
3/1/2021,ARKF,PING AN HEALTHCARE AND TECHN,1833,BDRYVB3,3038000.0,44927038.07,0.97
3/1/2021,ARKF,NVIDIA CORP,NVDA,67066G104,79750.0,44155182.5,0.96
3/1/2021,ARKF,DRAFTKINGS INC - CL A,DKNG,26142R104,546288.0,37540911.36,0.81
3/1/2021,ARKF,BILL.COM HOLDINGS INC,BILL,090043100,140523.0,24096884.04,0.52
3/1/2021,ARKF,LENDINGCLUB CORP,LC,52603A208,1821145.0,21507722.45,0.47
3/1/2021,ARKF,MARKETAXESS HOLDINGS INC,MKTX,57060D108,33414.0,19349044.98,0.42
3/1/2021,ARKF,LIGHTSPEED POS INC-SUB VOTE,LSPD,BGHVW01,262639.0,18925945.64,0.41
3/1/2021,ARKF,JSC KASPI.KZ GDR-REG S,KSPI,BMXZ8G7,83277.0,5904339.3,0.13
3/1/2021,ARKF,SPLUNK INC,SPLK,848637104,23700.0,3584862.0,0.08
3/1/2021,ARKF,VERISK ANALYTICS INC,VRSK,92345Y106,18531.0,3095418.24,0.07
3/1/2021,ARKG,TELADOC HEALTH INC,TDOC,87918A105,3716249.0,830172864.11,7.53
3/1/2021,ARKG,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,15690309.0,552612682.98,5.01
3/1/2021,ARKG,EXACT SCIENCES CORP,EXAS,30063P105,3865505.0,541982456.05,4.91
3/1/2021,ARKG,REGENERON PHARMACEUTICALS,REGN,75886F107,1098614.0,508713212.7,4.61
3/1/2021,ARKG,TWIST BIOSCIENCE CORP,TWST,90184D100,3328142.0,482414182.9,4.37
3/1/2021,ARKG,ROCHE HOLDINGS LTD-SPONS ADR,RHHBY,771195104,10582998.0,433585428.06,3.93
3/1/2021,ARKG,VERTEX PHARMACEUTICALS INC,VRTX,92532F100,1987028.0,418030950.64,3.79
3/1/2021,ARKG,NOVARTIS AG-SPONSORED ADR,NVS,66987V109,4778400.0,417871080.0,3.79
3/1/2021,ARKG,CAREDX INC,CDNA,14167L103,4683677.0,409072349.18,3.71
3/1/2021,ARKG,FATE THERAPEUTICS INC,FATE,31189P102,3963021.0,382867458.81,3.47
3/1/2021,ARKG,TAKEDA PHARMACEUTIC-SP ADR,TAK UN,874060205,20518914.0,348411159.72,3.16
3/1/2021,ARKG,IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,8038065.0,317262425.55,2.88
3/1/2021,ARKG,CRISPR THERAPEUTICS AG,CRSP,H17182108,2142860.0,279107515.0,2.53
3/1/2021,ARKG,INVITAE CORP,NVTA,46185L103,5740234.0,250963030.48,2.28
3/1/2021,ARKG,INCYTE CORP,INCY,45337C102,3138404.0,249911110.52,2.27
3/1/2021,ARKG,VEEVA SYSTEMS INC-CLASS A,VEEV,922475108,804028.0,236151063.88,2.14
3/1/2021,ARKG,CASTLE BIOSCIENCES INC,CSTL,14843C105,2727341.0,223751055.64,2.03
3/1/2021,ARKG,ACCOLADE INC,ACCD,00437E102,4707181.0,221614081.48,2.01
3/1/2021,ARKG,IONIS PHARMACEUTICALS INC,IONS,462222100,3951260.0,213565603.0,1.94
3/1/2021,ARKG,PERSONALIS INC,PSNL,71535D106,6259892.0,203509088.92,1.84
3/1/2021,ARKG,10X GENOMICS INC-CLASS A,TXG,88025U109,1067948.0,199439289.0,1.81
3/1/2021,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,03969T109,3655005.0,199709473.2,1.81
3/1/2021,ARKG,PURE STORAGE INC - CLASS A,PSTG,74624M102,8089969.0,198123340.81,1.8
3/1/2021,ARKG,SCHRODINGER INC,SDGR,80810D103,1704247.0,192733293.23,1.75
3/1/2021,ARKG,BERKELEY LIGHTS INC,BLI,084310101,2911962.0,181415232.6,1.64
3/1/2021,ARKG,BEAM THERAPEUTICS INC,BEAM,07373V105,1881026.0,179788465.08,1.63
3/1/2021,ARKG,BRISTOL-MYERS SQUIBB CO,BMY,110122108,2627115.0,161909097.45,1.47
3/1/2021,ARKG,SAREPTA THERAPEUTICS INC,SRPT,803607100,1839614.0,160101606.42,1.45
3/1/2021,ARKG,CODEXIS INC,CDXS,192005106,5877032.0,137992711.36,1.25
3/1/2021,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,00650F109,2346432.0,135834948.48,1.23
3/1/2021,ARKG,INTELLIA THERAPEUTICS INC,NTLA,45826J105,2023686.0,129576614.58,1.17
3/1/2021,ARKG,CELLECTIS - ADR,CLLS,15117K103,5606381.0,127208784.89,1.15
3/1/2021,ARKG,VERACYTE INC,VCYT,92337F107,1893990.0,119113031.1,1.08
3/1/2021,ARKG,THERMO FISHER SCIENTIFIC INC,TMO,883556102,251726.0,115683200.56,1.05
3/1/2021,ARKG,PHREESIA INC,PHR,71944F106,1797996.0,115287503.52,1.05
3/1/2021,ARKG,GUARDANT HEALTH INC,GH,40131M109,738430.0,112344740.2,1.02
3/1/2021,ARKG,ALPHABET INC-CL A,GOOGL,02079K305,53132.0,109965175.12,1.0
3/1/2021,ARKG,NANOSTRING TECHNOLOGIES INC,NSTG,63009R109,1392699.0,103561097.64,0.94
3/1/2021,ARKG,EDITAS MEDICINE INC,EDIT,28106W103,1683002.0,78915963.78,0.72
3/1/2021,ARKG,CM LIFE SCIENCES INC-CLASS A,CMLF,18978W109,3330162.0,69866798.76,0.63
3/1/2021,ARKG,SERES THERAPEUTICS INC,MCRB,81750R102,3299861.0,68043133.82,0.62
3/1/2021,ARKG,ABBVIE INC,ABBV,00287Y109,580994.0,62985559.54,0.57
3/1/2021,ARKG,SIGNIFY HEALTH INC -CLASS A,SGFY,82671G100,1640922.0,59434194.84,0.54
3/1/2021,ARKG,AQUABOUNTY TECHNOLOGIES,AQB,03842K200,8005478.0,58199825.06,0.53
3/1/2021,ARKG,BUTTERFLY NETWORK INC,BFLY,124155102,2879211.0,55597564.41,0.5
3/1/2021,ARKG,COMPUGEN LTD,CGEN,M25722105,5313725.0,52977838.25,0.48
3/1/2021,ARKG,CERUS CORP,CERS,157085101,7573482.0,49379102.64,0.45
3/1/2021,ARKG,908 DEVICES INC,MASS,65443P102,778446.0,44737291.62,0.41
3/1/2021,ARKG,REPARE THERAPEUTICS INC,RPTX,760273102,1285735.0,43226410.7,0.39
3/1/2021,ARKG,SURFACE ONCOLOGY INC,SURF,86877M209,3910671.0,35274252.42,0.32
3/1/2021,ARKG,SYROS PHARMACEUTICALS INC,SYRS,87184Q107,2934328.0,27729399.6,0.25
3/1/2021,ARKG,EVOGENE LTD,EVGN,M4119S104,4256807.0,26307067.26,0.24
3/1/2021,ARKG,1LIFE HEALTHCARE INC,ONEM,68269G107,525947.0,25666213.6,0.23
3/1/2021,ARKG,PLURISTEM THERAPEUTICS INC,PSTI,72940R300,3548780.0,22037923.8,0.2
3/1/2021,ARKG,ORGANOVO HOLDINGS INC,ONVO ,68620A203,347534.0,4629152.88,0.04
3/1/2021,ARKK,TESLA INC,TSLA,88160R101,3557066.0,2555502926.38,10.27
3/1/2021,ARKK,SQUARE INC - A,SQ,852234103,5919519.0,1426604079.0,5.73
3/1/2021,ARKK,ROKU INC,ROKU,77543R102,3343149.0,1405158956.19,5.65
3/1/2021,ARKK,TELADOC HEALTH INC,TDOC,87918A105,5756196.0,1285876624.44,5.17
3/1/2021,ARKK,BAIDU INC - SPON ADR,BIDU,056752108,3227643.0,954026717.94,3.83
3/1/2021,ARKK,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,2825879.0,907898405.12,3.65
3/1/2021,ARKK,ZILLOW GROUP INC - C,Z,98954M200,5075768.0,847653256.0,3.41
3/1/2021,ARKK,SHOPIFY INC - CLASS A,SHOP,82509L107,584179.0,765239439.26,3.08
3/1/2021,ARKK,CRISPR THERAPEUTICS AG,CRSP,H17182108,5798771.0,755289922.75,3.04
3/1/2021,ARKK,INVITAE CORP,NVTA,46185L103,16675110.0,729035809.2,2.93
3/1/2021,ARKK,PAYPAL HOLDINGS INC,PYPL,70450Y103,2478823.0,678280337.49,2.73
3/1/2021,ARKK,EXACT SCIENCES CORP,EXAS,30063P105,4347615.0,609579099.15,2.45
3/1/2021,ARKK,ZOOM VIDEO COMMUNICATIONS-A,ZM,98980L101,1413429.0,579025324.14,2.33
3/1/2021,ARKK,TWILIO INC - A,TWLO,90138F102,1381918.0,574573866.04,2.31
3/1/2021,ARKK,DOCUSIGN INC,DOCU,256163106,2097654.0,500416338.24,2.01
3/1/2021,ARKK,PURE STORAGE INC - CLASS A,PSTG,74624M102,20365739.0,498756948.11,2.0
3/1/2021,ARKK,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,5330503.0,486674923.9,1.96
3/1/2021,ARKK,UNITY SOFTWARE INC,U,91332U101,4379001.0,475252978.53,1.91
3/1/2021,ARKK,PROTO LABS INC,PRLB,743713109,2970291.0,448098100.26,1.8
