date,fund,company,ticker,cusip,shares,market value($),weight(%)
2/24/2021,ARKF,SQUARE INC - A,SQ,852234103,1857572,440838987,9.41
2/24/2021,ARKF,PAYPAL HOLDINGS INC,PYPL,70450Y103,854696,227408964.7,4.85
2/24/2021,ARKF,ZILLOW GROUP INC - C,Z,98954M200,1348791,221579385.5,4.73
2/24/2021,ARKF,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,2104126,187688039.2,4.01
2/24/2021,ARKF,PINTEREST INC- CLASS A,PINS,72352L106,2145723,180605504.9,3.85
2/24/2021,ARKF,SILVERGATE CAPITAL CORP-CL A,SI,82837P408,1257172,176657809.4,3.77
2/24/2021,ARKF,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,1490747,166158660.6,3.55
2/24/2021,ARKF,SEA LTD-ADR,SE,81141R100,631415,156616176.6,3.34
2/24/2021,ARKF,SHOPIFY INC - CLASS A,SHOP,82509L107,116109,151075225.4,3.22
2/24/2021,ARKF,MERCADOLIBRE INC,MELI,58733R102,87095,149280830,3.19
2/24/2021,ARKF,ADYEN NV,ADYEN,BZ1HM42,58897,141761209.9,3.03
2/24/2021,ARKF,SNAP INC - A,SNAP,83304A106,1918106,133250823.8,2.84
2/24/2021,ARKF,OPENDOOR TECHNOLOGIES INC,OPEN,683712103,4103588,126472582.2,2.7
2/24/2021,ARKF,ALIBABA GROUP HOLDING-SP ADR,BABA,01609W102,506118,126701580.1,2.7
2/24/2021,ARKF,FACEBOOK INC-CLASS A,FB,30303M102,465391,123007495.2,2.63
2/24/2021,ARKF,TWILIO INC - A,TWLO,90138F102,300283,122803735.7,2.62
2/24/2021,ARKF,ZHONGAN ONLINE P&C INSURAN-H,6060,BYZQ099,15745245,113702404.3,2.43
2/24/2021,ARKF,MEITUAN-CLASS B,3690,BGJW376,2335382,110162511.4,2.35
2/24/2021,ARKF,YEAHKA LTD,9923,BL58D39,10380800,104547597.3,2.23
2/24/2021,ARKF,AMAZON.COM INC,AMZN,23135106,32306,102071776.2,2.18
2/24/2021,ARKF,DOCUSIGN INC,DOCU,256163106,406813,97496803.58,2.08
2/24/2021,ARKF,Z HOLDINGS CORP,4689,6084848,14659630,90609321.11,1.93
2/24/2021,ARKF,WORKDAY INC-CLASS A,WDAY,98138H101,332450,87361211,1.86
2/24/2021,ARKF,APPLE INC,AAPL,37833100,686284,86025699.4,1.84
2/24/2021,ARKF,INTUIT INC,INTU,461202103,203118,83924295.24,1.79
2/24/2021,ARKF,TCS GROUP HOLDING-GDR REG S,TCS LI,87238U203,1368145,69638580.5,1.49
2/24/2021,ARKF,JD.COM INC-ADR,JD,47215P106,684865,66000440.05,1.41
2/24/2021,ARKF,TELADOC HEALTH INC,TDOC,87918A105,248247,63186308.91,1.35
2/24/2021,ARKF,SCHWAB (CHARLES) CORP,SCHW,808513105,971056,62574848.64,1.34
2/24/2021,ARKF,KE HOLDINGS INC,BEKE,482497104,862604,58838218.84,1.26
2/24/2021,ARKF,LENDINGTREE INC,TREE UW,52603B107,168622,55660435.98,1.19
2/24/2021,ARKF,DISCOVERY LTD,DSY,6177878,5497697,55336309,1.18
2/24/2021,ARKF,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,401845,53164093.5,1.13
2/24/2021,ARKF,GUIDEWIRE SOFTWARE INC,GWRE,40171V100,435471,52043139.21,1.11
2/24/2021,ARKF,BASE INC,4477,BKRQ8Q2,464200,49368519.48,1.05
2/24/2021,ARKF,NVIDIA CORP,NVDA,67066G104,80500,46686780,1
2/24/2021,ARKF,PING AN HEALTHCARE AND TECHN,1833,BDRYVB3,3066500,46186814.53,0.99
2/24/2021,ARKF,HDFC BANK LTD-ADR,HDB,40415F101,555851,45857707.5,0.98
2/24/2021,ARKF,PINDUODUO INC-ADR,PDD,722304102,249065,44662335.8,0.95
2/24/2021,ARKF,LIGHTSPEED POS INC-SUB VOTE,LSPD,BGHVW01,324963,23814776.38,0.51
2/24/2021,ARKF,BILL.COM HOLDINGS INC,BILL,90043100,141843,24031041.06,0.51
2/24/2021,ARKF,DRAFTKINGS INC - CL A,DKNG,26142R104,375998,22665159.44,0.48
2/24/2021,ARKF,LENDINGCLUB CORP,LC,52603A208,1838306,22041288.94,0.47
2/24/2021,ARKF,MARKETAXESS HOLDINGS INC,MKTX,57060D108,33729,18397820.34,0.39
2/24/2021,ARKF,JSC KASPI.KZ GDR-REG S,KSPI,BMXZ8G7,83655,6031525.5,0.13
2/24/2021,ARKF,SPLUNK INC,SPLK,848637104,23925,3649280.25,0.08
2/24/2021,ARKF,VERISK ANALYTICS INC,VRSK,92345Y106,18711,3134653.83,0.07
2/24/2021,ARKG,TELADOC HEALTH INC,TDOC,87918A105,3550549,903721237,7.95
2/24/2021,ARKG,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,16110609,575954271.8,5.07
2/24/2021,ARKG,EXACT SCIENCES CORP,EXAS,30063P105,3946157,532020886.7,4.68
2/24/2021,ARKG,REGENERON PHARMACEUTICALS,REGN,75886F107,1121550,514342830,4.53
2/24/2021,ARKG,TWIST BIOSCIENCE CORP,TWST,90184D100,3511882,499389620.4,4.39
2/24/2021,ARKG,ROCHE HOLDINGS LTD-SPONS ADR,RHHBY,771195104,11090044,460902228.6,4.06
2/24/2021,ARKG,VERTEX PHARMACEUTICALS INC,VRTX,92532F100,2028482,440261733.3,3.87
2/24/2021,ARKG,NOVARTIS AG-SPONSORED ADR,NVS,66987V109,4878087,426491146.4,3.75
2/24/2021,ARKG,CAREDX INC,CDNA,14167L103,5190593,410212564.8,3.61
2/24/2021,ARKG,FATE THERAPEUTICS INC,FATE,31189P102,4045694,385433267.4,3.39
2/24/2021,ARKG,TAKEDA PHARMACEUTIC-SP ADR,TAK UN,874060205,20946990,360707167.8,3.17
2/24/2021,ARKG,IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,8205761,323471098.6,2.85
2/24/2021,ARKG,CRISPR THERAPEUTICS AG,CRSP,H17182108,2200280,293781385.6,2.59
2/24/2021,ARKG,INCYTE CORP,INCY,45337C102,3203875,258264363.8,2.27
2/24/2021,ARKG,INVITAE CORP,NVTA,46185L103,5894014,248079049.3,2.18
2/24/2021,ARKG,VEEVA SYSTEMS INC-CLASS A,VEEV,922475108,820807,238969750,2.1
2/24/2021,ARKG,CASTLE BIOSCIENCES INC,CSTL,14843C105,2784258,231678108.2,2.04
2/24/2021,ARKG,IONIS PHARMACEUTICALS INC,IONS,462222100,4033698,226734164.6,2
2/24/2021,ARKG,PERSONALIS INC,PSNL,71535D106,6427592,222973166.5,1.96
2/24/2021,ARKG,ACCOLADE INC,ACCD,4.37E+104,4670468,215495393.5,1.9
2/24/2021,ARKG,PURE STORAGE INC - CLASS A,PSTG,74624M102,8306689,213980308.6,1.88
2/24/2021,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,03969T109,3752925,206936284.5,1.82
2/24/2021,ARKG,10X GENOMICS INC-CLASS A,TXG,88025U109,1090226,195619251.2,1.72
2/24/2021,ARKG,SCHRODINGER INC,SDGR,80810D103,1739799,193152485,1.7
2/24/2021,ARKG,BEAM THERAPEUTICS INC,BEAM,07373V105,1920271,186323895.1,1.64
2/24/2021,ARKG,BRISTOL-MYERS SQUIBB CO,BMY,110122108,2927932,183259263.9,1.61
2/24/2021,ARKG,BERKELEY LIGHTS INC,BLI,84310101,2535751,171163192.5,1.51
2/24/2021,ARKG,SAREPTA THERAPEUTICS INC,SRPT,803607100,1780583,150085341.1,1.32
2/24/2021,ARKG,THERMO FISHER SCIENTIFIC INC,TMO,883556102,304859,139216910.9,1.23
2/24/2021,ARKG,CODEXIS INC,CDXS,192005106,5999655,137332103,1.21
2/24/2021,ARKG,ALPHABET INC-CL A,GOOGL,02079K305,64913,135266358.5,1.19
2/24/2021,ARKG,INTELLIA THERAPEUTICS INC,NTLA,45826J105,2077866,132401621.5,1.17
2/24/2021,ARKG,CELLECTIS - ADR,CLLS,15117K103,5756561,129349925.7,1.14
2/24/2021,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,00650F109,2154996,125830216.4,1.11
2/24/2021,ARKG,GUARDANT HEALTH INC,GH,40131M109,753846,122303975,1.08
2/24/2021,ARKG,VERACYTE INC,VCYT,92337F107,1944750,121157925,1.07
2/24/2021,ARKG,PHREESIA INC,PHR,71944F106,1835489,115048450.5,1.01
2/24/2021,ARKG,NANOSTRING TECHNOLOGIES INC,NSTG,63009R109,1421732,107298114,0.94
2/24/2021,ARKG,EDITAS MEDICINE INC,EDIT,28106W103,1728062,85884681.4,0.76
2/24/2021,ARKG,SERES THERAPEUTICS INC,MCRB,81750R102,3388241,67087171.8,0.59
2/24/2021,ARKG,BUTTERFLY NETWORK INC,BFLY,124155102,2939264,65104697.6,0.57
2/24/2021,ARKG,ABBVIE INC,ABBV,00287Y109,593120,64466212.8,0.57
2/24/2021,ARKG,AQUABOUNTY TECHNOLOGIES,AQB,03842K200,8219918,63622165.32,0.56
2/24/2021,ARKG,CM LIFE SCIENCES INC-CLASS A,CMLF,18978W109,3025269,60807906.9,0.54
2/24/2021,ARKG,COMPUGEN LTD,CGEN,M25722105,5456072,56524905.92,0.5
2/24/2021,ARKG,SIGNIFY HEALTH INC -CLASS A,SGFY,82671G100,1433041,51947736.25,0.46
2/24/2021,ARKG,CERUS CORP,CERS,157085101,7776375,52257240,0.46
2/24/2021,ARKG,REPARE THERAPEUTICS INC,RPTX,760273102,1281534,41790823.74,0.37
2/24/2021,ARKG,908 DEVICES INC,MASS,65443P102,682396,41755811.24,0.37
2/24/2021,ARKG,SURFACE ONCOLOGY INC,SURF,86877M209,3954161,35943323.49,0.32
2/24/2021,ARKG,EVOGENE LTD,EVGN,M4119S104,4370867,29284808.9,0.26
2/24/2021,ARKG,SYROS PHARMACEUTICALS INC,SYRS,87184Q107,3012928,28261264.64,0.25
2/24/2021,ARKG,PLURISTEM THERAPEUTICS INC,PSTI,72940R300,3658276,24656780.24,0.22
2/24/2021,ARKG,1LIFE HEALTHCARE INC,ONEM,68269G107,290465,15078038.15,0.13
2/24/2021,ARKG,ORGANOVO HOLDINGS INC,ONVO ,68620A203,356834,4942150.9,0.04
2/24/2021,ARKK,TESLA INC,TSLA,88160R101,3528907,2618519572,10.41
2/24/2021,ARKK,ROKU INC,ROKU,77543R102,3701647,1531704512,6.09
2/24/2021,ARKK,SQUARE INC - A,SQ,852234103,5652445,1341438247,5.34
2/24/2021,ARKK,TELADOC HEALTH INC,TDOC,87918A105,4964430,1263596368,5.03
2/24/2021,ARKK,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,2803439,938282998.9,3.73
2/24/2021,ARKK,BAIDU INC - SPON ADR,BIDU,56752108,2802507,851990153.1,3.39
2/24/2021,ARKK,ZILLOW GROUP INC - C,Z,98954M200,5035574,827244096.7,3.29
2/24/2021,ARKK,CRISPR THERAPEUTICS AG,CRSP,H17182108,5892784,786804519.7,3.13
2/24/2021,ARKK,INVITAE CORP,NVTA,46185L103,16945396,713231717.6,2.84
2/24/2021,ARKK,SHOPIFY INC - CLASS A,SHOP,82509L107,534117,694966334.6,2.76
2/24/2021,ARKK,PAYPAL HOLDINGS INC,PYPL,70450Y103,2459190,654316683.3,2.6
2/24/2021,ARKK,EXACT SCIENCES CORP,EXAS,30063P105,4197320,565882682.4,2.25
2/24/2021,ARKK,TWILIO INC - A,TWLO,90138F102,1370917,560650216.3,2.23
2/24/2021,ARKK,ZOOM VIDEO COMMUNICATIONS-A,ZM,98980L101,1402235,540182989.1,2.15
2/24/2021,ARKK,PURE STORAGE INC - CLASS A,PSTG,74624M102,20695860,533125353.6,2.12
2/24/2021,ARKK,DOCUSIGN INC,DOCU,256163106,2081037,498741327.4,1.98
2/24/2021,ARKK,UNITY SOFTWARE INC,U,91332U101,4344296,480175036.9,1.91
2/24/2021,ARKK,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,5288240,471711008,1.88
2/24/2021,ARKK,PROTO LABS INC,PRLB,743713109,3018447,457536196.3,1.82
2/24/2021,ARKK,IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,11038458,435136014.4,1.73
2/24/2021,ARKK,TWIST BIOSCIENCE CORP,TWST,90184D100,3063186,435585049.2,1.73
2/24/2021,ARKK,KE HOLDINGS INC,BEKE,482497104,5950220,405864506.2,1.61
2/24/2021,ARKK,INTELLIA THERAPEUTICS INC,NTLA,45826J105,6267737,399380201.6,1.59
2/24/2021,ARKK,LENDINGTREE INC,TREE UW,52603B107,1188410,392282256.9,1.56
2/24/2021,ARKK,NINTENDO CO LTD-UNSPONS ADR,NTDOY,654445303,4749365,374962366.8,1.49
2/24/2021,ARKK,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,3320128,370061466.9,1.47
2/24/2021,ARKK,PAGERDUTY INC,PD,69553P100,7331414,350441589.2,1.39
2/24/2021,ARKK,2U INC,TWOU,90214J101,7819395,349839732.3,1.39
2/24/2021,ARKK,10X GENOMICS INC-CLASS A,TXG,88025U109,1826119,327660532.2,1.3
2/24/2021,ARKK,EDITAS MEDICINE INC,EDIT,28106W103,6460765,321100020.5,1.28
2/24/2021,ARKK,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,2325734,307694608.2,1.22
2/24/2021,ARKK,SEA LTD-ADR,SE,81141R100,1231015,305340960.6,1.21
2/24/2021,ARKK,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,7215175,293008256.8,1.17
2/24/2021,ARKK,VERACYTE INC,VCYT,92337F107,4699649,292788132.7,1.16
2/24/2021,ARKK,MATERIALISE NV-ADR,MTLS,57667T100,5598814,284643703.8,1.13
2/24/2021,ARKK,REGENERON PHARMACEUTICALS,REGN,75886F107,584326,267971903.6,1.07
2/24/2021,ARKK,PACCAR INC,PCAR,693718108,2828360,266657780.8,1.06
2/24/2021,ARKK,NOVARTIS AG-SPONSORED ADR,NVS,66987V109,3058718,267423714.7,1.06
2/24/2021,ARKK,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,7044630,251845522.5,1
2/24/2021,ARKK,SYNOPSYS INC,SNPS,871607107,944222,246139791,0.98
2/24/2021,ARKK,STRATASYS LTD,SSYS,M85548101,6489952,232924377.3,0.93
2/24/2021,ARKK,HUYA INC-ADR,HUYA,44852D108,6678028,189722775.5,0.75
2/24/2021,ARKK,SERES THERAPEUTICS INC,MCRB,81750R102,7802525,154489995,0.61
2/24/2021,ARKK,TERADYNE INC,TER,880770102,1088664,146087822.2,0.58
2/24/2021,ARKK,NANOSTRING TECHNOLOGIES INC,NSTG,63009R109,1819318,137303929.5,0.55
2/24/2021,ARKK,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,5241522,138323765.6,0.55
2/24/2021,ARKK,PINTEREST INC- CLASS A,PINS,72352L106,1609725,135490553.3,0.54
2/24/2021,ARKK,TWITTER INC,TWTR,90184L102,1869381,134445881.5,0.53
2/24/2021,ARKK,FATE THERAPEUTICS INC,FATE,31189P102,1348263,128449016,0.51
2/24/2021,ARKK,CERUS CORP,CERS,157085101,18504818,124352377,0.49
2/24/2021,ARKK,COMPUGEN LTD,CGEN,M25722105,9735773,100862608.3,0.4
2/24/2021,ARKK,BEAM THERAPEUTICS INC,BEAM,07373V105,1019262,98898991.86,0.39
2/24/2021,ARKK,SNAP INC - A,SNAP,83304A106,1100895,76479175.65,0.3
2/24/2021,ARKK,SYROS PHARMACEUTICALS INC,SYRS,87184Q107,4908354,46040360.52,0.18
2/24/2021,ARKK,ORGANOVO HOLDINGS INC,ONVO ,68620A203,128987,1786469.95,0.01
2/24/2021,ARKQ,TESLA INC,TSLA,88160R101,554217,411240098.3,10.53
2/24/2021,ARKQ,BAIDU INC - SPON ADR,BIDU,56752108,690780,210004027.8,5.38
2/24/2021,ARKQ,TRIMBLE INC,TRMB,896239100,2466522,187578998.1,4.8
2/24/2021,ARKQ,DEERE & CO,DE,244199105,537760,185882121.6,4.76
2/24/2021,ARKQ,JD.COM INC-ADR,JD,47215P106,1762855,169886336.4,4.35
2/24/2021,ARKQ,KRATOS DEFENSE & SECURITY,KTOS,50077B207,5022168,150941259.2,3.86
2/24/2021,ARKQ,ALPHABET INC-CL C,GOOG,02079K107,71024,148807354.1,3.81
2/24/2021,ARKQ,TERADYNE INC,TER,880770102,1088987,146131165.5,3.74
2/24/2021,ARKQ,NXP SEMICONDUCTORS NV,NXPI,N6596X109,680427,126702311.7,3.24
2/24/2021,ARKQ,KOMATSU LTD -SPONS ADR,KMTUY,500458401,3890717,119250476.1,3.05
